title,author,genre,summary,isbn,price,qty_on_hand,publisher,year,country
"The Great Gatsby",F. Scott Fitzgerald,Classic,"The story of the fabulously wealthy Jay Gatsby and his love for the beautiful Daisy Buchanan.",9780743273565,9.99,10,Penguin Books,1925,United States
"To Kill a Mockingbird",Harper Lee,Classic,"Set in the 1930s, this novel explores racial injustice through the eyes of a young girl named Scout.",9780061120084,12.99,15,HarperCollins,1960,United States
"Pride and Prejudice",Jane Austen,Romance,"A classic tale of love, family, and societal expectations in 19th-century England.",9780141439518,7.99,20,Penguin Classics,1813,United Kingdom
"1984",George Orwell,Dystopian,"A dystopian novel set in a totalitarian society where individualism is suppressed.",9780451524935,10.49,12,Signet Classics,1949,United Kingdom
"The Catcher in the Rye",J.D. Salinger,Coming of Age,"Follows the experiences of a disenchanted teenager named Holden Caulfield in New York City.",9780316769488,8.99,18,Little, Brown and Company,1951,United States
"To the Lighthouse",Virginia Woolf,Modernist,"A pioneering work of modernist literature that explores the inner lives of its characters.",9780156907392,11.99,9,Mariner Books,1927,United Kingdom
"Harry Potter and the Philosopher's Stone",J.K. Rowling,Fantasy,"The first book in the beloved Harry Potter series, following the adventures of a young wizard.",9781408855652,14.99,25,Bloomsbury Publishing,1997,United Kingdom
"The Lord of the Rings",J.R.R. Tolkien,Fantasy,"An epic fantasy trilogy set in the fictional world of Middle-earth, filled with magic and adventure.",9780544003415,29.99,7,Houghton Mifflin Harcourt,1954,United Kingdom
"Brave New World",Aldous Huxley,Dystopian,"A dystopian novel that imagines a future society where people are genetically engineered and divided into castes.",9780060850524,9.49,11,Harper Perennial Modern Classics,1932,United Kingdom
"The Hobbit",J.R.R. Tolkien,Fantasy,"A prequel to 'The Lord of the Rings,' following the adventures of Bilbo Baggins as he embarks on a quest.",9780345534835,12.99,14,Del Rey,1937,United Kingdom
"The Alchemist",Paulo Coelho,Fiction,"A philosophical novel about a young shepherd who sets out on a journey to discover his personal legend.",9780062315007,8.99,22,HarperOne,1988,Brazil
"Jane Eyre",Charlotte Bronte,Classic,"A coming-of-age story of a young governess named Jane Eyre and her struggles for independence and love.",9780141441146,7.99,16,Penguin Classics,1847,United Kingdom
"The Da Vinci Code",Dan Brown,Thriller,"A thriller novel that follows a symbologist's quest to uncover a hidden secret guarded by a secretive organization.",9780307474278,10.99,13,Anchor,2003,United States
"The Girl on the Train",Paula Hawkins,Mystery,"A psychological thriller revolving around the observations of a woman who becomes entangled in a missing person's investigation.",9781594634024,9.49,19,Riverhead Books,2015,United Kingdom
"Gone Girl",Gillian Flynn,Thriller,"A suspenseful novel about a husband who becomes the prime suspect in his wife's disappearance.",9780307588371,8.49,20,Broadway Books,2012,United States
"The Hunger Games",Suzanne Collins,Dystopian,"The first book in a trilogy, set in a post-apocalyptic world where teenagers are forced to participate in a televised fight to the death.",9780439023481,11.49,15,Scholastic,2008,United States
"The Kite Runner",Khaled Hosseini,Historical Fiction,"A story of friendship and redemption set against the backdrop of Afghanistan's turbulent history.",9781594631931,9.99,14,Riverhead Books,2003,Afghanistan
"The Chronicles of Narnia",C.S. Lewis,Fantasy,"A series of seven fantasy novels set in the magical world of Narnia and featuring various adventures.",9780064404990,18.99,8,HarperCollins,1950,United Kingdom
"The Book Thief",Markus Zusak,Historical Fiction,"Narrated by Death, the novel tells the story of a young girl living in Nazi Germany who steals books to survive and find solace.",9780375842207,10.99,17,Knopf Books for Young Readers,2005,Australia
"The Fault in Our Stars",John Green,Young Adult,"A heart-wrenching love story between two teenagers who meet at a cancer support group.",9780525478812,9.99,21,Dutton Books,2012,United States
"Animal Farm",George Orwell,Political Allegory,"A satirical novella that uses animals on a farm to depict the events leading up to the Russian Revolution and the Stalinist era of the Soviet Union.",9780451526342,7.99,23,Signet Classics,1945,United Kingdom
"Lord of the Flies",William Golding,Classics,"A group of British boys stranded on an uninhabited island and their descent into savagery.",9780399501487,8.99,20,Penguin Books,1954,United Kingdom
"The Handmaid's Tale",Margaret Atwood,Dystopian,"A dystopian novel set in a future where women are subjugated and used for reproductive purposes.",9780385490818,12.49,12,Anchor,1985,Canada
"Frankenstein",Mary Shelley,Horror,"A Gothic novel exploring the creation of a monster and its consequences.",9780486282114,6.99,18,Dover Publications,1818,United Kingdom
"The Picture of Dorian Gray",Oscar Wilde,Classics,"A story of a young man who remains eternally youthful while a portrait of him ages and reflects his moral decline.",9781503331709,7.99,15,CreateSpace Independent Publishing Platform,1890,Ireland
"Brave Story",Miyuki Miyabe,Fantasy,"A fantasy novel about a young boy who embarks on a dangerous journey to a parallel world to save his mother.",9781421527734,14.99,11,VIZ Media LLC,2003,Japan
"Alice's Adventures in Wonderland",Lewis Carroll,Children's,"An imaginative tale about a young girl named Alice who falls into a magical world populated by peculiar creatures.",9781503218983,6.49,25,CreateSpace Independent Publishing Platform,1865,United Kingdom
"The Odyssey",Homer,Classics,"An epic poem that follows the Greek hero Odysseus on his journey home after the fall of Troy.",9780143039952,9.99,10,Penguin Classics,8th century BCE,Greece
"Fahrenheit 451",Ray Bradbury,Dystopian,"A dystopian novel set in a future society where books are banned and burned by the state.",9781451673319,9.99,14,Simon & Schuster,1953,United States
"The Little Prince",Antoine de Saint-Exupéry,Children's,"A philosophical novella about a young prince who visits various planets and learns important life lessons.",9780156012195,8.49,17,Harcourt,1943,France
"The Adventures of Huckleberry Finn",Mark Twain,Adventure,"The story of Huck Finn and his friend Jim, an escaped slave, as they journey along the Mississippi River.",9780486280615,7.99,20,Dover Publications,1884,United States
"Sense and Sensibility",Jane Austen,Romance,"A story about the Dashwood sisters and their experiences with love, romance, and societal expectations.",9780141439662,7.99,19,Penguin Classics,1811,United Kingdom
"Crime and Punishment",Fyodor Dostoevsky,Classics,"A psychological novel that explores the inner turmoil of a young man after committing a murder.",9780140449136,10.49,16,Penguin Classics,1866,Russia
"The Adventures of Tom Sawyer",Mark Twain,Adventure,"The mischievous adventures of a young boy named Tom Sawyer in a small town along the Mississippi River.",9780486400778,6.99,21,Dover Publications,1876,United States
"Les Misérables",Victor Hugo,Classics,"A historical novel set in 19th-century France, following the lives of several characters during a time of political upheaval.",9780140444308,12.99,13,Penguin Classics,1862,France
"Wuthering Heights",Emily Bronte,Classic,"A passionate and haunting tale of love and revenge set in the Yorkshire moors.",9780141439556,8.99,18,Penguin Classics,1847,United Kingdom
"Anna Karenina",Leo Tolstoy,Classics,"A complex novel that explores themes of love, marriage, and societal norms in 19th-century Russia.",9780143035008,11.99,14,Penguin Classics,1877,Russia
"The Count of Monte Cristo",Alexandre Dumas,Adventure,"A tale of betrayal, revenge, and redemption, following the life of Edmond Dantès.",9780140449266,9.99,16,Penguin Classics,1844,France
"Moby-Dick",Herman Melville,Classics,"A story of obsession and revenge as Captain Ahab pursues the elusive white whale, Moby-Dick.",9780142437247,10.99,15,Penguin Classics,1851,United States
"The Metamorphosis",Franz Kafka,Classics,"A novella that tells the story of Gregor Samsa, who wakes up one morning to find himself transformed into a giant insect.",9780141184331,7.99,20,Penguin Classics,1915,Austria-Hungary
"Dracula",Bram Stoker,Horror,"A Gothic horror novel featuring the vampire Count Dracula and his attempts to spread the undead curse.",9780141439846,8.99,19,Penguin Classics,1897,Ireland
"Little Women",Louisa May Alcott,Classics,"The story of four sisters coming of age during the American Civil War.",9780143106654,9.99,17,Penguin Classics,1868,United States
"War and Peace",Leo Tolstoy,Classics,"An epic novel set against the backdrop of Napoleon's invasion of Russia, exploring themes of love, war, and destiny.",9781400079988,16.99,8,Vintage,1869,Russia
"The Secret Garden",Frances Hodgson Burnett,Children's,"A classic children's novel about a young girl who discovers a neglected garden and brings it back to life.",9780064401883,6.99,23,HarperCollins,1911,United Kingdom
"The Old Man and the Sea",Ernest Hemingway,Classics,"A story of an old Cuban fisherman's struggle with a giant marlin in the Gulf Stream.",9780684801223,8.49,18,Scribner,1952,United States
"The Adventures of Sherlock Holmes",Arthur Conan Doyle,Mystery,"A collection of detective stories featuring the famous detective Sherlock Holmes and his loyal friend Dr. John Watson.",9780062343376,9.49,15,Harper Perennial,1892,United Kingdom
"Great Expectations",Charles Dickens,Classics,"The story of Pip, an orphan who aspires to become a gentleman, and his encounters with various characters in Victorian England.",9780141439563,8.99,19,Penguin Classics,1861,United Kingdom
"Anne of Green Gables",L.M. Montgomery,Children's,"The story of Anne Shirley, an imaginative and spirited orphan girl who is mistakenly sent to live with an elderly brother and sister.",9780143035008,7.99,22,Penguin Classics,1908,Canada
"The Divine Comedy",Dante Alighieri,Classics,"A long narrative poem that describes the journey of the narrator through Hell, Purgatory, and Paradise.",9780142437223,11.99,13,Penguin Classics,1320,Italy
"Harry Potter and the Chamber of Secrets",J.K. Rowling,Fantasy,"The second book in the Harry Potter series, following Harry's second year at Hogwarts School of Witchcraft and Wizardry.",9780439064866,12.99,16,Scholastic,1998,United Kingdom
"The Giver",Lois Lowry,Dystopian,"A dystopian novel set in a society where emotions and memories have been eradicated.",9780544336261,8.99,17,Houghton Mifflin Harcourt,1993,United States

